          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-01;        66;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-02;        59;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-03;        50;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-04;        50;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-05;        52;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-06;        45;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-07;        45;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-08;        52;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-09;        47;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-10;        45;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-11;        47;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-12;        59;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-13;        66;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-14;        55;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-15;        47;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-16;        66;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-17;        56;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-18;        55;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-19;        39;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-20;        37;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-21;        52;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-22;        55;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-23;        62;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-24;        50;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-25;        55;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-26;        59;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-27;        53;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-28;        47;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-29;        39;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-30;        44;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-01-31;        42;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-02-01;        40;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-02-02;        41;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-02-03;        37;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-02-04;        37;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-02-05;        35;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-02-06;        39;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-02-07;        37;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-02-08;        44;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-02-09;        39;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-02-10;        42;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-02-11;        42;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-02-12;        56;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-02-13;        55;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-02-14;        56;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-02-15;        83;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-02-16;        74;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-02-17;        63;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-02-18;        55;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-02-19;        52;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-02-20;        49;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-02-21;        59;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-02-22;        74;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-02-23;        69;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-02-24;        74;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-02-25;        55;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-02-26;        47;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-02-27;        63;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-02-28;        66;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-01;        66;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-02;        63;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-03;        66;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-04;        62;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-05;        78;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-06;        63;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-07;        62;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-08;        59;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-09;        49;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-10;        52;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-11;        59;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-12;        74;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-13;        69;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-14;        55;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-15;        52;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-16;        47;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-17;        45;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-18;        47;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-19;        55;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-20;        62;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-21;        74;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-22;        69;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-23;        65;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-24;        62;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-25;        55;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-26;        57;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-27;        55;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-28;        59;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-29;        59;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-30;        69;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-03-31;        66;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-01;        59;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-02;        62;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-03;        59;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-04;        59;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-05;        55;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-06;        56;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-07;        38;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-08;        49;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-09;        59;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-10;        52;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-11;        59;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-12;        69;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-13;        74;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-14;        78;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-15;        83;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-16;        71;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-17;        66;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-18;        59;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-19;        49;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-20;        59;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-21;        59;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-22;        69;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-23;        69;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-24;        69;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-25;        62;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-26;        57;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-27;        55;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-28;        57;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-29;        48;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-04-30;        50;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-01;        65;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-02;        62;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-03;        55;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-04;        48;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-05;        49;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-06;        49;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-07;        49;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-08;        49;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-09;        55;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-10;        58;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-11;        57;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-12;        58;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-13;        54;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-14;        48;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-15;        46;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-16;        43;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-17;        62;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-18;        57;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-19;        45;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-20;        45;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-21;        46;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-22;        57;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-23;        93;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-24;        93;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-25;        83;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-26;        69;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-27;        67;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-28;        65;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-29;        58;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-30;        48;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-05-31;        54;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-01;        60;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-02;        47;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-03;        44;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-04;        34;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-05;        55;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-06;        69;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-07;        52;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-08;        49;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-09;        62;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-10;        74;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-11;        59;   -9999.0
          Bauru;         SBBU;  -22.3450;  -49.0538;   2014-06-12;        51;   -9999.0
